uni	pathway	url
A2NJV5	FCERI mediated NF-kB activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871837
A2NJV5	CD22 mediated BCR regulation	http://reactome.org/PathwayBrowser/#/R-HSA-5690714
A2NJV5	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2NJV5	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2NXD2	Initial triggering of complement	http://reactome.org/PathwayBrowser/#/R-HSA-166663
A2NXD2	Classical antibody-mediated complement activation	http://reactome.org/PathwayBrowser/#/R-HSA-173623
A2NXD2	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933
A2NXD2	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2NXD2	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2NXD2	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A2NXD2	Role of phospholipids in phagocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-2029485
A2NXD2	Scavenging of heme from plasma	http://reactome.org/PathwayBrowser/#/R-HSA-2168880
A2NXD2	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2NXD2	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2NXD2	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2NXD2	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2NXD2	FCERI mediated MAPK activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871796
A2NXD2	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A2NXD2	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A2NXD2	FCERI mediated NF-kB activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871837
A2NXD2	CD22 mediated BCR regulation	http://reactome.org/PathwayBrowser/#/R-HSA-5690714
A2NXD2	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2NXD2	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2RRD8	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A2RRP1	COPI-dependent Golgi-to-ER retrograde traffic	http://reactome.org/PathwayBrowser/#/R-HSA-6811434
A2RU49	Lysine catabolism	http://reactome.org/PathwayBrowser/#/R-HSA-71064
A2RUC4	Synthesis of wybutosine at G37 of tRNA(Phe)	http://reactome.org/PathwayBrowser/#/R-HSA-6782861
A2RUS2	RAB GEFs exchange GTP for GDP on RABs	http://reactome.org/PathwayBrowser/#/R-HSA-8876198
A2VDF0	GDP-fucose biosynthesis	http://reactome.org/PathwayBrowser/#/R-HSA-6787639
A2VEC9	Defective B3GALTL causes Peters-plus syndrome (PpS)	http://reactome.org/PathwayBrowser/#/R-HSA-5083635
A2VEC9	O-glycosylation of TSR domain-containing proteins	http://reactome.org/PathwayBrowser/#/R-HSA-5173214
A3KFT3	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A4D1E1	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A4D2G3	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A4GXA9	Resolution of D-loop Structures through Holliday Junction Intermediates	http://reactome.org/PathwayBrowser/#/R-HSA-5693568
A4GXA9	Fanconi Anemia Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-6783310
A5D6W6	Lipid digestion, mobilization, and transport	http://reactome.org/PathwayBrowser/#/R-HSA-73923
A5D8V6	Budding and maturation of HIV virion	http://reactome.org/PathwayBrowser/#/R-HSA-162588
A5D8V6	Membrane binding and targetting of GAG proteins	http://reactome.org/PathwayBrowser/#/R-HSA-174490
A5D8V6	Endosomal Sorting Complex Required For Transport (ESCRT)	http://reactome.org/PathwayBrowser/#/R-HSA-917729
A5LHX3	Activation of NF-kappaB in B cells	http://reactome.org/PathwayBrowser/#/R-HSA-1169091
A5LHX3	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	http://reactome.org/PathwayBrowser/#/R-HSA-1234176
A5LHX3	ER-Phagosome pathway	http://reactome.org/PathwayBrowser/#/R-HSA-1236974
A5LHX3	Cross-presentation of soluble exogenous antigens (endosomes)	http://reactome.org/PathwayBrowser/#/R-HSA-1236978
A5LHX3	SCF-beta-TrCP mediated degradation of Emi1	http://reactome.org/PathwayBrowser/#/R-HSA-174113
A5LHX3	APC/C:Cdc20 mediated degradation of Securin	http://reactome.org/PathwayBrowser/#/R-HSA-174154
A5LHX3	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	http://reactome.org/PathwayBrowser/#/R-HSA-174178
A5LHX3	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	http://reactome.org/PathwayBrowser/#/R-HSA-174184
A5LHX3	Vpu mediated degradation of CD4	http://reactome.org/PathwayBrowser/#/R-HSA-180534
A5LHX3	Vif-mediated degradation of APOBEC3G	http://reactome.org/PathwayBrowser/#/R-HSA-180585
A5LHX3	Degradation of beta-catenin by the destruction complex	http://reactome.org/PathwayBrowser/#/R-HSA-195253
A5LHX3	Downstream TCR signaling	http://reactome.org/PathwayBrowser/#/R-HSA-202424
A5LHX3	Regulation of activated PAK-2p34 by proteasome mediated degradation	http://reactome.org/PathwayBrowser/#/R-HSA-211733
A5LHX3	Separation of Sister Chromatids	http://reactome.org/PathwayBrowser/#/R-HSA-2467813
A5LHX3	FCERI mediated NF-kB activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871837
A5LHX3	Autodegradation of the E3 ubiquitin ligase COP1	http://reactome.org/PathwayBrowser/#/R-HSA-349425
A5LHX3	Regulation of ornithine decarboxylase (ODC)	http://reactome.org/PathwayBrowser/#/R-HSA-350562
A5LHX3	ABC-family proteins mediated transport	http://reactome.org/PathwayBrowser/#/R-HSA-382556
A5LHX3	AUF1 (hnRNP D0) binds and destabilizes mRNA	http://reactome.org/PathwayBrowser/#/R-HSA-450408
A5LHX3	Asymmetric localization of PCP proteins	http://reactome.org/PathwayBrowser/#/R-HSA-4608870
A5LHX3	Degradation of AXIN	http://reactome.org/PathwayBrowser/#/R-HSA-4641257
A5LHX3	Degradation of DVL	http://reactome.org/PathwayBrowser/#/R-HSA-4641258
A5LHX3	Hedgehog ligand biogenesis	http://reactome.org/PathwayBrowser/#/R-HSA-5358346
A5LHX3	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	http://reactome.org/PathwayBrowser/#/R-HSA-5362768
A5LHX3	Dectin-1 mediated noncanonical NF-kB signaling	http://reactome.org/PathwayBrowser/#/R-HSA-5607761
A5LHX3	CLEC7A (Dectin-1) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-5607764
A5LHX3	Degradation of GLI1 by the proteasome	http://reactome.org/PathwayBrowser/#/R-HSA-5610780
A5LHX3	Degradation of GLI2 by the proteasome	http://reactome.org/PathwayBrowser/#/R-HSA-5610783
A5LHX3	GLI3 is processed to GLI3R by the proteasome	http://reactome.org/PathwayBrowser/#/R-HSA-5610785
A5LHX3	Hedgehog 'on' state	http://reactome.org/PathwayBrowser/#/R-HSA-5632684
A5LHX3	Regulation of RAS by GAPs	http://reactome.org/PathwayBrowser/#/R-HSA-5658442
A5LHX3	TNFR2 non-canonical NF-kB pathway	http://reactome.org/PathwayBrowser/#/R-HSA-5668541
A5LHX3	NIK-->noncanonical NF-kB signaling	http://reactome.org/PathwayBrowser/#/R-HSA-5676590
A5LHX3	Defective CFTR causes cystic fibrosis	http://reactome.org/PathwayBrowser/#/R-HSA-5678895
A5LHX3	MAPK6/MAPK4 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-5687128
A5LHX3	UCH proteinases	http://reactome.org/PathwayBrowser/#/R-HSA-5689603
A5LHX3	Ub-specific processing proteases	http://reactome.org/PathwayBrowser/#/R-HSA-5689880
A5LHX3	CDT1 association with the CDC6:ORC:origin complex	http://reactome.org/PathwayBrowser/#/R-HSA-68827
A5LHX3	Orc1 removal from chromatin	http://reactome.org/PathwayBrowser/#/R-HSA-68949
A5LHX3	CDK-mediated phosphorylation and removal of Cdc6	http://reactome.org/PathwayBrowser/#/R-HSA-69017
A5LHX3	Ubiquitin-dependent degradation of Cyclin D1	http://reactome.org/PathwayBrowser/#/R-HSA-69229
A5LHX3	G2/M Checkpoints	http://reactome.org/PathwayBrowser/#/R-HSA-69481
A5LHX3	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	http://reactome.org/PathwayBrowser/#/R-HSA-69601
A5LHX3	The role of GTSE1 in G2/M progression after G2 checkpoint	http://reactome.org/PathwayBrowser/#/R-HSA-8852276
A5LHX3	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	http://reactome.org/PathwayBrowser/#/R-HSA-8854050
A5LHX3	Antigen processing: Ubiquitination & Proteasome degradation	http://reactome.org/PathwayBrowser/#/R-HSA-983168
A5PL33	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A5PLK6	G alpha (q) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-416476
A5PLK6	G alpha (i) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418594
A5PLK6	G alpha (z) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418597
A5PLN9	RAB GEFs exchange GTP for GDP on RABs	http://reactome.org/PathwayBrowser/#/R-HSA-8876198
A5X5Y0	Ligand-gated ion channel transport	http://reactome.org/PathwayBrowser/#/R-HSA-975298
A5YKK6	Deadenylation of mRNA	http://reactome.org/PathwayBrowser/#/R-HSA-429947
A5YKK6	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	http://reactome.org/PathwayBrowser/#/R-HSA-6804115
A5YM69	NRAGE signals death through JNK	http://reactome.org/PathwayBrowser/#/R-HSA-193648
A5YM69	Rho GTPase cycle	http://reactome.org/PathwayBrowser/#/R-HSA-194840
A5YM69	G alpha (12/13) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-416482
A5YM72	Histidine catabolism	http://reactome.org/PathwayBrowser/#/R-HSA-70921
A6H8Y1	RNA Polymerase III Abortive And Retractive Initiation	http://reactome.org/PathwayBrowser/#/R-HSA-749476
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 1 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76061
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 1 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76061
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 2 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76066
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 2 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76066
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 3 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76071
A6H8Y1	RNA Polymerase III Transcription Initiation From Type 3 Promoter	http://reactome.org/PathwayBrowser/#/R-HSA-76071
A6NCV1	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NCW0	Ub-specific processing proteases	http://reactome.org/PathwayBrowser/#/R-HSA-5689880
A6NCW7	Ub-specific processing proteases	http://reactome.org/PathwayBrowser/#/R-HSA-5689880
A6ND48	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NDH6	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NDL8	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NDX5	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A6NET4	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NF89	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NFC9	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NFH5	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis	http://reactome.org/PathwayBrowser/#/R-HSA-163560
A6NGB9	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A6NGB9	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A6NGB9	RHO GTPases Activate WASPs and WAVEs	http://reactome.org/PathwayBrowser/#/R-HSA-5663213
A6NGB9	RHO GTPases Activate WASPs and WAVEs	http://reactome.org/PathwayBrowser/#/R-HSA-5663213
A6NGU5	Glutathione synthesis and recycling	http://reactome.org/PathwayBrowser/#/R-HSA-174403
A6NGU5	Aflatoxin activation and detoxification	http://reactome.org/PathwayBrowser/#/R-HSA-5423646
A6NGY5	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NH00	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NH21	Serine biosynthesis	http://reactome.org/PathwayBrowser/#/R-HSA-977347
A6NHA9	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NHC0	Degradation of the extracellular matrix	http://reactome.org/PathwayBrowser/#/R-HSA-1474228
A6NHG9	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NHJ4	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A6NHL2	Translocation of GLUT4 to the plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-1445148
A6NHL2	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-190840
A6NHL2	Gap junction assembly	http://reactome.org/PathwayBrowser/#/R-HSA-190861
A6NHL2	MHC class II antigen presentation	http://reactome.org/PathwayBrowser/#/R-HSA-2132295
A6NHL2	Separation of Sister Chromatids	http://reactome.org/PathwayBrowser/#/R-HSA-2467813
A6NHL2	Resolution of Sister Chromatid Cohesion	http://reactome.org/PathwayBrowser/#/R-HSA-2500257
A6NHL2	Recruitment of NuMA to mitotic centrosomes	http://reactome.org/PathwayBrowser/#/R-HSA-380320
A6NHL2	Formation of tubulin folding intermediates by CCT/TriC	http://reactome.org/PathwayBrowser/#/R-HSA-389960
A6NHL2	Post-chaperonin tubulin folding pathway	http://reactome.org/PathwayBrowser/#/R-HSA-389977
A6NHL2	Recycling pathway of L1	http://reactome.org/PathwayBrowser/#/R-HSA-437239
A6NHL2	Recycling pathway of L1	http://reactome.org/PathwayBrowser/#/R-HSA-437239
A6NHL2	Assembly of the primary cilium	http://reactome.org/PathwayBrowser/#/R-HSA-5617833
A6NHL2	RHO GTPases activate IQGAPs	http://reactome.org/PathwayBrowser/#/R-HSA-5626467
A6NHL2	RHO GTPases Activate Formins	http://reactome.org/PathwayBrowser/#/R-HSA-5663220
A6NHL2	COPI-mediated anterograde transport	http://reactome.org/PathwayBrowser/#/R-HSA-6807878
A6NHL2	COPI-dependent Golgi-to-ER retrograde traffic	http://reactome.org/PathwayBrowser/#/R-HSA-6811434
A6NHL2	COPI-independent Golgi-to-ER retrograde traffic	http://reactome.org/PathwayBrowser/#/R-HSA-6811436
A6NHL2	Mitotic Prometaphase	http://reactome.org/PathwayBrowser/#/R-HSA-68877
A6NHL2	The role of GTSE1 in G2/M progression after G2 checkpoint	http://reactome.org/PathwayBrowser/#/R-HSA-8852276
A6NHL2	Kinesins	http://reactome.org/PathwayBrowser/#/R-HSA-983189
A6NI28	Rho GTPase cycle	http://reactome.org/PathwayBrowser/#/R-HSA-194840
A6NI73	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933
A6NIH7	Trafficking of myristoylated proteins to the cilium	http://reactome.org/PathwayBrowser/#/R-HSA-5624138
A6NIJ9	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NIX2	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	http://reactome.org/PathwayBrowser/#/R-HSA-1234176
A6NIX2	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	http://reactome.org/PathwayBrowser/#/R-HSA-1234176
A6NJZ3	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NK53	Generic Transcription Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-212436
A6NK58	Glyoxylate metabolism and glycine degradation	http://reactome.org/PathwayBrowser/#/R-HSA-389661
A6NK59	Antigen processing: Ubiquitination & Proteasome degradation	http://reactome.org/PathwayBrowser/#/R-HSA-983168
A6NKK0	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NL08	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NL26	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NLF2	Formation of RNA Pol II elongation complex 	http://reactome.org/PathwayBrowser/#/R-HSA-112382
A6NLF2	Elongation arrest and recovery	http://reactome.org/PathwayBrowser/#/R-HSA-112387
A6NLF2	Formation of HIV elongation complex in the absence of HIV Tat	http://reactome.org/PathwayBrowser/#/R-HSA-167152
A6NLF2	Formation of HIV-1 elongation complex containing HIV-1 Tat	http://reactome.org/PathwayBrowser/#/R-HSA-167200
A6NLF2	Pausing and recovery of Tat-mediated HIV elongation	http://reactome.org/PathwayBrowser/#/R-HSA-167238
A6NLF2	Tat-mediated HIV elongation arrest and recovery	http://reactome.org/PathwayBrowser/#/R-HSA-167243
A6NLF2	Tat-mediated elongation of the HIV-1 transcript	http://reactome.org/PathwayBrowser/#/R-HSA-167246
A6NLF2	HIV elongation arrest and recovery	http://reactome.org/PathwayBrowser/#/R-HSA-167287
A6NLF2	Pausing and recovery of HIV elongation	http://reactome.org/PathwayBrowser/#/R-HSA-167290
A6NLF2	RNA Polymerase II Pre-transcription Events	http://reactome.org/PathwayBrowser/#/R-HSA-674695
A6NLF2	TP53 Regulates Transcription of DNA Repair Genes	http://reactome.org/PathwayBrowser/#/R-HSA-6796648
A6NLF2	RNA Polymerase II Transcription Elongation	http://reactome.org/PathwayBrowser/#/R-HSA-75955
A6NM03	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NM76	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NMB1	DAP12 interactions	http://reactome.org/PathwayBrowser/#/R-HSA-2172127
A6NMS3	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NMU1	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NMZ5	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753
A6NMZ7	Collagen degradation	http://reactome.org/PathwayBrowser/#/R-HSA-1442490
A6NMZ7	Collagen biosynthesis and modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-1650814
A6NMZ7	Signaling by PDGF	http://reactome.org/PathwayBrowser/#/R-HSA-186797
A6NMZ7	Assembly of collagen fibrils and other multimeric structures	http://reactome.org/PathwayBrowser/#/R-HSA-2022090
